"","AirPollutionLevel","Longitude","Latitude","Zone"
"363",31.855,9.32361,44.3149,"North"
"364",31.79999,13.3465,38.1307,"South"
"365",31.720417,9.83278,44.1128,"North"
"366",31.629167,11.1616,46.662,"North"
"367",31.52335,14.9933,41.9981,"Center"
"368",31.5,15.6388,38.105,"South"
"369",31.4829,13.6163,45.937,"North"
"370",31.4,9.49694,45.9131,"North"
"371",31.379723,13.7875,45.6232,"North"
"372",31.34,15.7964,40.6279,"South"
"373",31.295833,15.2714,38.1746,"South"
"374",31.295833,10.8591,46.6195,"North"
"375",31.19655,8.54139,39.3111,"South"
"376",31.18,15.7952,40.6492,"South"
"377",31,10.0972,44.0783,"North"
"378",31,7.0501,45.1391,"North"
"379",31,12.237,41.7682,"Center"
"380",31,6.8359,45.0348,"North"
"381",31,10.9053,43.9408,"Center"
"382",31,7.32417,45.7358,"North"
"383",31,12.2058,43.1331,"Center"
"384",31,12.2169,46.1414,"North"
"385",31,10.1328,44.0311,"North"
"386",31,12.3747,43.1044,"Center"
"387",30.9,13.5221,45.8052,"North"
"388",30.851,15.5529,38.1983,"South"
"389",30.80999,13.5011,45.8364,"North"
"390",30.62,8.41139,44.2939,"North"
"391",30.6,13.1186,38.0502,"South"
"392",30.53,17.2633,40.4606,"South"
"393",30.51,8.92737,44.4181,"North"
"394",30.50465,8.4325,39.2242,"South"
"395",30.463972,13.2253,46.0351,"North"
"396",30.2,15.1288,37.1824,"South"
"397",30.1,17.2842,40.9614,"South"
"398",30.1,12.5469,38.0124,"South"
"399",30,11.2875,43.7867,"Center"
"400",30,11.0394,45.8924,"North"
"401",30,12.7133,42.7447,"Center"
"402",30,14.2792,42.4214,"Center"
"403",30,12.5572,43.3583,"Center"
"404",30,16.0802,38.6646,"South"
"405",30,13.6194,42.8486,"Center"
"406",29.9,15.2491,38.1906,"South"
"407",29.83,17.9436,40.6508,"South"
"408",29.820833,14.7697,40.6839,"South"
"409",29.804167,14.2311,40.8494,"South"
"410",29.725,11.34,46.4955,"North"
"411",29.5482,8.59778,39.8989,"South"
"412",29.483333,12.9522,43.4681,"Center"
"413",29.4,13.4864,45.7316,"North"
"414",29.3,8.44565,44.2618,"North"
"415",29.208947,9.84278,44.1178,"North"
"416",29.2,13.7661,45.6405,"North"
"417",29.16,9.22261,44.3517,"North"
"418",29.1,9.00889,39.0667,"South"
"419",29,11.8093,42.0818,"Center"
"420",28.9,15.2087,37.094,"South"
"421",28.8,14.1794,40.7989,"South"
"422",28.75,9.81861,44.1017,"North"
"423",28.65,17.2839,40.4119,"South"
"424",28.63,15.64,40.9841,"South"
"425",28.52,15.7876,41.046,"South"
"426",28.5,8.40528,40.8314,"South"
"427",28.4,17.2253,40.4233,"South"
"428",28.33,16.5603,40.8278,"South"
"429",28.233333,11.6541,46.7149,"North"
"430",28.19,9.85778,44.1067,"North"
