"","Country","Total population in people","Population density in people/km^2","GDP  (current US$)","GDP per capita, PPP (current  international $)","Renewable energy consumption (% of total)","Industy value added (% of GDP)","Agriculture value added (% of GDP)","Forest area (in km^2)","Primary energy consumption (TWh)","Primary energy consumption per capita (kWh/person)","pm10_avg","no2_avg","o3_avg","pm25_avg"
"11","Finland",5515525,18.1479501184522,275708001767.843,49580.6051952837,44.17,23.9961963831373,2.38668391429869,224090,3342537841796875,6052487890625,24.4188938717949,12.3380798333333,96.9904172352941,6.0429326875
"12","France",67158348,122.650880182337,2790956878746.66,46537.4740442591,15.21,17.188379329634,1.64887661606241,170862,2791124755859375,429466484375,28.8513081722222,19.724520802005,117.394157420712,10.4509670408163
"13","Germany",82905782,237.294012250272,3974443355019.6,55235.366304833,16.12,27.3062740495328,0.689090611953825,114190,3792849609375,456285859375,30.6443805340314,28.1258510212766,125.863923717557,12.8135619015544
"14","Greece",10732882,83.2651823118697,212049447242.111,29617.5483399732,17.86,13.6284382517849,3.63540849125269,39018,31880523681640624,30298216796875,47.2994791875,32.8655427142857,115.541666666667,16.59935225
"15","Hungary",9775564,107.117729563883,160564628963.713,31913.0746552476,13.58,25.084348942605,3.4863937660148,20559.2,2713777770996094,2795546875,47.3010416666667,21.6834452083333,114.663004176471,18.5780028333333
"16","Iceland",352721,3.49817514628583,26264127686.6137,57211.3003077603,80.71,19.6531923322371,3.92126920421205,500.4,6645856475830078,19737509375,18.6515953,7.418278,NA,4.018256375
"17","Ireland",4867316,70.6534475250399,385736680797.118,84555.6348017403,10.78,36.7490047906557,0.891399016599996,7740.2,18658839416503904,3872177734375,23.7666666666667,15.5122562857143,94.9657291666667,7.98646933333333
"18","Italy",60421760,204.322225904409,2091932426266.98,43036.2437770367,17.08,21.4501517225557,1.94542007434608,94585.1,185364013671875,30574353515625,39.1512571104762,21.2185509154229,119.741187061765,15.2283047583643
"19","Latvia",1927174,30.9700612274415,34429023435.0211,30877.0419264807,40.97,18.6596036517809,3.59380516050941,34030.5,435616569519043,22588818359375,39.8333333333333,15.75930725,95.47525,14.1684174
"20","Lithuania",2801543,44.731646175954,53751411409.4447,36376.1898152469,33.73,25.6191060108105,2.87960341007644,21980,7046073913574219,25153140625,41.6170547857143,15.199051,95.9807692307692,12.8499105714286
"21","Luxembourg",607950,236.146609386046,71000359760.4611,116965.586110774,16.09,10.9806523373367,0.23465447209239,887,46434329986572264,76846984375,28.7475,27.3331875555556,125.65,10.62707125
"22","Malta",484630,1514.46875,15298771846.9532,45552.5144549657,7.54,12.0347356233115,0.697028174450019,4.6,38702606201171872,8810965625,46.7566666666667,15.65872725,107.765625,12.08828075
"23","Montenegro",622227,46.2622304832714,5506766650.92111,21509.1959196372,40.6,15.9341257910459,6.73223778878135,8270,14846110343933104,23647720703125,97.58,19.9910625,107.345,NA
"24","Netherlands",17231624,511.779744579745,914043438179.607,57826.6284976675,7.39,17.8057254191608,1.65067371932604,3676.3,9863815307617188,5781987109375,33.3815830615385,23.4596317681159,110.547180232558,12.4429268888889
"25","North Macedonia",2076217,82.3242268041237,12683070061.4695,16793.0850679893,20.87,24.0504298826712,8.47039846991427,10014.9,2940232276916504,141156650390625,95.3100831538462,22.5796185,98.204015,NA
"26","Norway",5311916,14.5488896436123,436999692591.454,69808.3294106839,60.75,31.7927628802161,1.86299558231802,121644,5501220092773438,1030584765625,30.014638244898,21.5384754222222,103.1357374,7.28891675555556
