"","AirPollutionLevel","Longitude","Latitude","Zone"
"254",110.059125,12.5469,38.0124,"South"
"255",110,11.865,42.7447,"Center"
"256",109.91625,16.2552,38.2298,"South"
"257",109.68125,16.3868,39.4896,"South"
"258",109.571429,11.9814,44.5265,"North"
"259",109.525746,14.2238,37.0757,"South"
"260",109.25,11.4539,46.0518,"North"
"261",109.142857,14.287,40.9951,"South"
"262",109.039375,8.57611,40.7244,"South"
"263",108.995,9.18487,44.5647,"North"
"264",108.79375,16.0702,38.3999,"South"
"265",108.4525,17.1142,39.0681,"South"
"266",108.38125,8.99222,44.3964,"North"
"267",107.875,12.2169,46.1414,"North"
"268",107.7403,8.40528,40.8314,"South"
"269",107.615,16.5603,40.8278,"South"
"270",106.9125,14.1508,41.1686,"South"
"271",106.875,11.7981,42.0994,"Center"
"272",106.561529,15.0108,37.5157,"South"
"273",106.56,16.2952,38.9596,"South"
"274",106.02,18.1161,40.4589,"South"
"275",105.9125,12.9189,43.8933,"Center"
"276",105.8477,8.77306,40.2564,"South"
"277",105.415,15.8674,40.3242,"South"
"278",105,10.7717,43.7131,"Center"
"279",104.3825,9.84278,44.1178,"North"
"280",104.375,11.9058,46.0308,"North"
"281",104.317562,8.59778,39.8989,"South"
"282",103.77,17.9606,40.6458,"South"
"283",103.53036,13.5221,45.8052,"North"
"284",103.125,13.0044,41.7308,"Center"
"285",102.93703,13.688,37.9779,"South"
"286",102.7925,15.945,41.6653,"Center"
"287",102.38125,16.194,39.7138,"South"
"288",102.075162,8.99583,39.2269,"South"
"289",101.393889,14.0333,41.4789,"Center"
"290",101.25,12.1092,42.4219,"Center"
"291",101.244662,8.38611,39.2033,"South"
"292",100.875,11.8025,42.0917,"Center"
"293",100.572481,13.1186,38.0502,"South"
"294",100.347209,13.3465,38.1307,"South"
"295",99.8875,12.3661,43.1031,"Center"
"296",99.199537,9.49167,40.9275,"South"
"297",99.047362,9.01528,39.4436,"South"
"298",98.614286,14.424,40.9905,"South"
"299",98.375,12.4753,41.8939,"Center"
"300",97.755687,9.01139,39.2864,"South"
"301",97.43,16.8597,41.1006,"South"
"302",97.25,12.4475,41.9064,"Center"
"303",97.111537,9.13639,39.2606,"South"
"304",97.088659,15.5465,38.1743,"South"
"305",96.894537,13.3022,38.1205,"South"
"306",95.813687,14.9933,41.9981,"Center"
"307",95.3375,14.7775,40.6954,"South"
"308",94.542857,14.1225,40.8229,"South"
"309",92.516212,8.54139,39.3111,"South"
"310",92.125,11.8065,42.0868,"Center"
"311",91.625,12.9131,41.4639,"Center"
"312",91.236087,9.00889,39.0667,"South"
"313",90.544437,8.27528,40.8092,"South"
"314",89.25,10.9261,44.15,"North"
"315",88.936692,14.734,36.9171,"South"
"316",88.81375,16.7661,41.1078,"South"
"317",87.065,15.6388,38.105,"South"
"318",86.413925,9.18806,39.2328,"South"
"319",85.348641,14.6728,41.5669,"Center"
"320",84.307975,8.52139,39.1656,"South"
"321",81.7781,9.115,39.2358,"South"
"322",81.328571,15.2714,38.1746,"South"
"323",80.192012,9.01667,39.07,"South"
"324",79.216637,8.55139,40.7103,"South"
"325",78.940172,15.2656,37.1025,"South"
"326",78.659487,8.59472,39.9092,"South"
"327",78.159687,9.32889,40.3189,"South"
"328",74.475,14.7024,40.711,"South"
"329",73.360175,8.32472,40.5533,"South"
"330",62.75,14.1975,42.4519,"Center"
"331",61.75,14.2792,42.4214,"Center"
"332",60.75,14.1378,42.3461,"Center"
"333",60,14.0289,42.1194,"Center"
"334",60,14.0678,42.3581,"Center"
"335",58.5,13.3508,42.4128,"Center"
"336",58.25,14.3558,42.2931,"Center"
"337",57.875,13.3831,42.3642,"Center"
"338",57.25,13.4894,42.33,"Center"
"339",56,14.1036,41.7794,"Center"
"340",55.875,14.2347,42.4564,"Center"
